Name,Birthdate,Fur,Weight_KG
Loki,6/25/2013,black,4.6
Daffodil,7/21/2019,siamese,6.6
Misty,9/30/2006,orange and white,4
Draco,1/2/2022,white,5.5
Jasper,10/24/2021,orange and white,4.5
Goldie,1/18/2019,tuxedo,6.7
Mocha,2/10/2012,calico,6.2
Twinkie,6/28/2012,siamese,5.1
Luna,3/7/2011,tortoiseshell,4.9
Lucinda,6/3/2021,tortoiseshell,3.9
Sheila,10/26/2010,black,5.6
Stripes,1/8/2010,tuxedo,5.3
Pouncer,2/27/2022,brown,4.4
Ivy,4/25/2013,brown,4
Lily,1/15/2012,gray,4.4
Gretchen,6/27/2007,white,6.5
Emerald,12/13/2014,orange and white,4.3
Smoky,7/25/2022,white,6.4
Olive,9/12/2016,tortoiseshell,5
Stormy,2/14/2016,bengal,6
Wyatt,8/6/2006,calico,6
Frisky,1/8/2007,white,3.8
Smoke,9/12/2020,hairless,6.8
Shakespeare,1/11/2011,white,5.8
Hugh,8/22/2019,tuxedo,5.6
Peaches,5/29/2021,calico,3.9
Snuggles,1/26/2021,white,4.7
Reina,9/16/2017,gray,4.2
Bingo,4/11/2022,tuxedo,3.7
Evan,11/10/2011,orange tabby,5.8
Shadow,10/1/2021,orange and white,3.6
Olly,12/11/2006,black,5.6
Becca,3/7/2020,orange and white,6.5
Zen,6/18/2013,black and white,6
Blake,8/3/2006,hairless,6.3
Bryce,8/29/2017,orange,6.2
Silky,1/27/2016,siamese,5.8
Stinko,12/12/2010,orange,5.6
Luke,12/6/2019,siamese,4.5
Missy,3/27/2020,white,5.9
Mae,3/3/2021,black and white,6.3
Clarke,8/2/2017,orange tabby,6.6
Maui,7/8/2012,calico,5.3
Patches,6/9/2021,calico,6.5
Sassy,8/20/2008,calico,5.4
Jaxon,2/7/2017,orange tabby,4.2
Bobby,10/31/2010,orange and white,6
Grey,10/12/2007,orange tabby,6.5
Rita,9/16/2017,orange,4
Katrina,4/9/2010,tortoiseshell,4.1
Joy,1/11/2014,white,3.9
Annalise,1/15/2022,bengal,5.1
Joss,1/18/2016,siamese,6.5
Noah,3/8/2020,hairless,4.9
Buddy,1/20/2015,tortoiseshell,3.6
Chance,8/31/2021,calico,3.7
Trey,4/22/2012,gray,3.9
Flora,5/29/2022,tortoiseshell,6.4
Grady,4/30/2007,bengal,5
Noelle,10/24/2017,brown,6.7
Mittens,4/25/2008,orange and white,5.4
Jordan,1/17/2009,siamese,6.4
Shimmer,5/10/2022,orange tabby,5.4
Alfie,12/8/2016,tuxedo,4.4
Luna,3/22/2017,hairless,4.3
Serena,7/8/2013,orange,6.8
Oliver,7/28/2006,black and white,6.1
Jenna,8/2/2017,tortoiseshell,5.9
Lion,9/20/2010,calico,6.6
Valentine,2/18/2015,orange tabby,6.5
Thomas,7/1/2014,white,5.5
Snowy,3/29/2013,tuxedo,6.6
Lyric,1/29/2011,black and white,5
Kieran,9/23/2017,gray tabby,6.8
Harry,11/12/2006,gray tabby,5.2
Sadie,3/20/2016,orange tabby,4.6
Sebastian,12/27/2021,orange and white,6.3
Ashley,10/10/2012,siamese,4.3
Tristan,6/10/2012,orange,6.7
Molly,6/30/2011,hairless,5.5
Minnie,7/16/2022,orange tabby,4.5
Diva,12/26/2011,orange tabby,6.1
Stripes,2/7/2018,black,5.6
Alonzo,11/3/2011,siamese,6.8
Hollie,7/27/2010,orange and white,5.3
Tigger,11/9/2009,tortoiseshell,3.9
Zeke,3/24/2013,brown,3.9
Muffin,5/23/2007,tuxedo,5.5
Ginger,7/9/2005,gray,5.5
Austin,11/1/2016,tuxedo,3.9
Pixie,8/20/2006,tortoiseshell,5.9
Alex,5/5/2009,orange and white,4.7
Snowflake,8/23/2007,black and white,4.6
Sandy,5/18/2017,black,4.7
Ash,4/9/2012,orange and white,6.4
Riley,6/23/2014,gray tabby,5.3
Antonio,1/27/2018,brown,6.2
River,12/14/2005,tortoiseshell,6.6
Mila,9/11/2007,gray,3.8
Dot,11/3/2012,calico,6.8
